BEVOEGD GEZAG NUMMER;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL LEERLINGEN;AANTAL VO LEERLINGEN UITBESTEED AAN VAVO;TOTAAL AANTAL LEERLINGEN
13554;20TZ;20TZ04;Lorentz Groep;ELST GLD;1734;OVERBETUWE;Gelderland;393;0;393
13554;20TZ;20TZ07;Lorentz Groep vst M.van Rossem;ARNHEM;0202;ARNHEM;Gelderland;429;0;429
13554;20TZ;20TZ11;Lorentz Groep;ELST GLD;1734;OVERBETUWE;Gelderland;896;5;901
13554;20TZ;20TZ12;Lorentz Groep;ARNHEM;0202;ARNHEM;Gelderland;150;0;150
13554;25GL;25GL00;SGM Arnhem Noord;ARNHEM;0202;ARNHEM;Gelderland;1272;16;1288
13554;25GL;25GL04;SGM Arnhem Noord;ARNHEM;0202;ARNHEM;Gelderland;567;135;702
13554;25GL;25GL06;SGM Arnhem Noord;ARNHEM;0202;ARNHEM;Gelderland;757;19;776
13554;25GL;25GL10;SGM Arnhem Noord;ARNHEM;0202;ARNHEM;Gelderland;133;0;133
13554;25GL;25GL11;SGM Arnhem Noord;ARNHEM;0202;ARNHEM;Gelderland;125;0;125
13555;16YC;16YC00;Scheldemond College;VLISSINGEN;0718;VLISSINGEN;Zeeland;1148;3;1151
13555;20CP;20CP00;NEHALENNIA SSG;MIDDELBURG;0687;MIDDELBURG;Zeeland;818;0;818
13555;20CP;20CP04;NEHALENNIA SSG;MIDDELBURG;0687;MIDDELBURG;Zeeland;1206;13;1219
13555;20CP;20CP07;NEHALENNIA SSG;MIDDELBURG;0687;MIDDELBURG;Zeeland;90;0;90
13556;02DW;02DW00;Gymnasium Bernrode;HEESWIJK-DINTHER;1721;BERNHEZE;Noord-Brabant;672;0;672
13556;20AJ;20AJ00;Stedelijk Gymnasium;'S-HERTOGENBOSCH;0796;S HERTOGENBOSCH;Noord-Brabant;809;8;817
13556;20DG;20DG00;Gymnasium Felisenum;VELSEN-ZUID;0453;VELSEN;Noord-Holland;608;2;610
